"carat","cut","color","clarity","depth","table","price","x","y","z"
0.7,"Very Good","D","SI1",61.1,57,2677,5.74,5.66,3.48
0.53,"Ideal","E","VS1",60.9,57,1827,5.25,5.19,3.18
0.93,"Premium","G","SI2",61.7,60,3802,6.25,6.2,3.84
0.25,"Very Good","G","VVS1",61.8,56,525,4.03,4.06,2.5
0.34,"Ideal","E","SI1",60.4,57,723,4.53,4.55,2.74
1.03,"Ideal","E","VVS2",61.7,56,11611,6.49,6.51,4.01
0.72,"Premium","F","VS2",60.8,58,2530,5.78,5.74,3.5
0.43,"Ideal","H","SI1",62.3,56,919,4.86,4.83,3.02
0.3,"Ideal","G","VS1",62.4,57,624,4.3,4.32,2.69
0.3,"Very Good","E","VS2",61.9,61,658,4.28,4.32,2.66
1.61,"Premium","I","SI1",62,58,8978,7.46,7.51,4.64
0.33,"Ideal","E","IF",62.1,55,1289,4.43,4.46,2.76
1.04,"Ideal","H","SI1",61.3,55,3984,6.49,6.44,3.96
0.5,"Premium","D","VS2",62.2,60,1431,5.15,5.05,3.17
1.36,"Premium","E","SI2",61.1,58,7677,7.21,7.13,4.38
0.9,"Good","F","VS2",64.3,57,4617,6.07,6.09,3.91
1.54,"Premium","J","SI1",61.1,58,5028,7.48,7.41,4.55
0.51,"Premium","D","VS2",60.5,60,1882,5.19,5.16,3.13
1.02,"Ideal","F","SI2",61.6,56,4684,6.52,6.49,4.01
0.75,"Premium","E","VS2",62.1,57,3024,5.9,5.79,3.63
1.01,"Very Good","F","VS2",63.1,60,6271,6.39,6.29,4
0.32,"Ideal","D","SI1",62.7,54,589,4.37,4.4,2.75
0.3,"Ideal","E","VS2",61.4,56,795,4.32,4.34,2.66
1.16,"Premium","I","SI1",61.5,57,5002,6.79,6.73,4.16
0.74,"Very Good","G","SI2",62.8,59,2262,5.71,5.76,3.6
0.53,"Ideal","F","VS1",61.4,57,1800,5.18,5.2,3.19
0.31,"Premium","G","VS2",61.5,59,698,4.35,4.33,2.67
0.86,"Ideal","I","VS2",62.1,57,3121,6.1,6.07,3.78
0.32,"Ideal","F","VVS2",61.6,55,945,4.41,4.42,2.72
1.14,"Good","G","I1",63.7,56,2327,6.63,6.55,4.2
0.25,"Very Good","E","VS2",63.3,60,404,4,4.03,2.54
1.01,"Premium","G","SI1",62.9,61,4672,6.4,6.36,4.01
0.74,"Ideal","H","VVS1",62.5,55,3287,5.76,5.79,3.61
1.02,"Very Good","F","IF",62.5,58,10967,6.39,6.54,4.04
0.7,"Ideal","F","SI1",61.2,55,3119,5.74,5.76,3.52
0.51,"Very Good","F","SI1",62,54,1265,5.15,5.18,3.2
0.44,"Very Good","E","SI1",63.2,53,970,4.87,4.84,3.07
1.3,"Ideal","F","SI2",62.2,56,6559,7,6.96,4.34
0.53,"Very Good","D","VS1",59.4,59,1907,5.25,5.32,3.14
1.5,"Ideal","G","VS1",61.3,56,16171,7.41,7.37,4.53
0.39,"Ideal","E","VS2",60.4,56,985,4.73,4.7,2.85
0.9,"Very Good","E","VS2",61.1,63,4134,6.17,6.2,3.78
1,"Very Good","I","SI1",63.3,58,4200,6.34,6.3,4
1.01,"Good","F","SI1",63.9,59,5309,6.29,6.32,4.03
2.01,"Good","J","SI1",59.6,61,11703,8.08,8.14,4.83
0.75,"Ideal","G","SI1",62.2,55,2760,5.87,5.8,3.63
1.02,"Ideal","F","VS2",62.8,57,7037,6.41,6.36,4.01
1.27,"Ideal","G","VVS1",61.7,56,10805,6.9,7.03,4.3
2.43,"Premium","J","VS2",62.2,57,18692,8.63,8.54,5.34
0.3,"Good","I","SI1",63.5,57,394,4.24,4.26,2.7
1.13,"Ideal","H","VS2",62,57,6045,6.61,6.69,4.12
1,"Premium","I","SI2",61.6,59,3712,6.34,6.41,3.93
0.36,"Ideal","F","VVS2",61.5,56,896,4.58,4.61,2.82
0.3,"Ideal","F","VS2",62.2,55,573,4.3,4.32,2.68
0.32,"Ideal","D","VS2",62.7,57,758,4.4,4.44,2.77
1.2,"Ideal","J","VS2",62.3,57,4927,6.82,6.75,4.23
0.29,"Very Good","H","SI2",60.7,60,404,4.33,4.37,2.64
1.21,"Premium","I","VS1",61.2,59,5540,6.86,6.84,4.19
0.33,"Ideal","E","VS1",62.3,53.8,771,4.42,4.44,2.76
0.35,"Ideal","G","VS1",61.9,55,706,4.52,4.53,2.8
0.3,"Very Good","H","VS2",62.6,57,457,4.25,4.28,2.67
0.72,"Ideal","D","SI2",61.8,56,2618,5.75,5.78,3.56
1.02,"Premium","G","SI2",62.5,58,3656,6.42,6.34,3.99
0.37,"Ideal","H","SI1",61.1,55,552,4.64,4.69,2.85
0.44,"Ideal","I","VVS2",60.8,56,912,4.9,4.93,2.99
0.75,"Premium","G","SI1",59.1,59,2622,5.98,5.9,3.51
0.58,"Very Good","F","SI1",62.2,57,1440,5.32,5.36,3.32
1.13,"Ideal","H","I1",62.2,55,3678,6.65,6.69,4.15
0.6,"Very Good","E","VS2",62.9,59,2085,5.34,5.38,3.37
0.73,"Ideal","G","VVS2",62.1,56,3396,5.78,5.81,3.59
0.7,"Good","G","SI1",63.9,58,2218,5.57,5.51,3.54
0.53,"Ideal","G","VVS2",60.4,56,1948,5.24,5.29,3.18
0.4,"Ideal","H","VS1",61.1,57,815,4.74,4.78,2.91
1.18,"Premium","J","SI1",62.5,55,4460,6.82,6.74,4.24
1.09,"Ideal","H","VS2",61.5,54,5732,6.64,6.65,4.09
1.02,"Ideal","D","SI1",61.2,56,6040,6.51,6.56,4
0.73,"Fair","G","VS2",60.1,65,2401,5.91,5.81,3.52
1.23,"Premium","J","VVS2",61.2,57,5768,6.92,6.86,4.22
0.41,"Premium","G","SI1",61.3,58,719,4.76,4.8,2.93
0.37,"Ideal","G","IF",62.1,54,1056,4.6,4.64,2.87
0.5,"Fair","E","SI1",66.5,58,1098,4.87,4.9,3.25
0.7,"Ideal","E","VS2",62.1,54,2839,5.69,5.72,3.54
1.05,"Ideal","F","VS2",61.6,54,6810,6.54,6.58,4.04
1.21,"Premium","F","SI2",62.4,60,4310,6.77,6.73,4.21
0.3,"Ideal","H","VVS1",62.2,55,665,4.3,4.32,2.68
1.2,"Very Good","I","SI1",62.9,54,5955,6.75,6.77,4.25
0.32,"Ideal","G","VVS1",62.2,55,842,4.38,4.4,2.73
0.91,"Premium","H","VS1",61.8,54,4670,6.32,6.27,3.89
0.62,"Ideal","D","VS1",61.9,57,2508,5.47,5.55,3.41
0.31,"Good","D","SI2",63.6,54,593,4.34,4.31,2.75
0.52,"Ideal","G","VVS1",61.9,54.4,1936,5.15,5.18,3.2
0.33,"Premium","G","VS1",60.3,58,797,4.52,4.5,2.72
0.9,"Good","I","IF",63.7,64,3669,6.07,6.02,3.85
0.41,"Premium","F","VS2",60.3,60,1107,4.84,4.81,2.91
1.51,"Very Good","G","VS1",60.2,63,12430,7.39,7.36,4.44
2.1,"Premium","I","VS2",59.2,60,13753,8.38,8.35,4.95
1,"Good","H","SI1",62.7,60,4389,6.24,6.3,3.93
1.54,"Ideal","J","VS1",62.2,59,8848,7.34,7.38,4.58
1.2,"Good","G","SI2",62.1,60,5310,6.72,6.78,4.19
0.41,"Ideal","F","VS1",62.3,55,1007,4.77,4.79,2.98
1.27,"Premium","H","VS2",58.9,61,5832,7.09,7.03,4.16
1.2,"Very Good","H","SI2",63.5,57,5221,6.67,6.71,4.25
0.53,"Good","E","SI1",63.1,56,1355,5.15,5.19,3.26
0.23,"Ideal","F","VS2",61.5,55,498,3.93,3.97,2.43
1.06,"Premium","D","SI1",61.1,59,6352,6.63,6.56,4.03
0.31,"Ideal","F","IF",61.2,56,921,4.37,4.42,2.69
2,"Very Good","J","SI1",62.2,59,12196,7.92,7.97,4.94
0.54,"Ideal","F","SI1",61.5,55,1260,5.23,5.28,3.23
0.42,"Premium","G","VS1",60.8,59,984,4.85,4.79,2.93
0.27,"Ideal","E","VVS2",62,55,622,4.12,4.14,2.56
0.31,"Very Good","E","SI1",62.8,57,544,4.32,4.34,2.72
0.3,"Premium","I","VVS2",61.9,61,675,4.32,4.28,2.66
1.5,"Very Good","H","VS1",63.4,56,10584,7.29,7.25,4.61
2.08,"Premium","F","SI2",62,60,13437,8.15,8.1,5.04
1.02,"Ideal","G","SI1",60.5,59,4882,6.55,6.51,3.95
1,"Premium","H","I1",62.7,59,2058,6.39,6.33,3.98
0.36,"Premium","F","VS1",60.7,58,789,4.57,4.62,2.79
1.21,"Very Good","I","SI1",61.2,62,5190,6.81,6.84,4.18
1,"Premium","D","SI1",61.4,58,5775,6.37,6.43,3.93
0.31,"Very Good","H","VS2",63,57,489,4.32,4.34,2.73
1.12,"Ideal","G","I1",60.3,57,3874,6.73,6.8,4.08
1.08,"Premium","F","SI2",59.9,58,3931,6.75,6.66,4.01
0.76,"Ideal","F","SI1",62.6,57,2719,5.84,5.89,3.67
1.01,"Very Good","J","SI1",62.2,57,4295,6.35,6.39,3.96
1.02,"Fair","G","VVS2",64.6,59,6736,6.31,6.29,4.07
1.32,"Ideal","G","VS2",61.1,57,9580,7.13,7.07,4.34
1.7,"Good","J","VS2",64,58,8146,7.41,7.47,4.76
0.72,"Premium","I","VS2",60.9,60,2216,5.76,5.8,3.52
0.92,"Ideal","D","SI2",60.3,56,3997,6.32,6.35,3.82
0.97,"Good","F","SI2",59.1,62,4182,6.49,6.54,3.85
1.29,"Ideal","G","SI2",61.5,55,6321,7.03,6.99,4.31
0.52,"Very Good","E","SI2",61.8,54,1120,5.15,5.18,3.19
0.51,"Ideal","G","VS1",60.4,59,1668,5.16,5.21,3.13
0.4,"Premium","F","VS1",62.9,58,1050,4.71,4.67,2.95
1.71,"Very Good","H","SI1",59.5,59,12791,7.78,7.81,4.64
0.34,"Ideal","I","VS1",62.4,55,689,4.51,4.47,2.8
1.74,"Good","H","SI1",60.6,62,12032,7.74,7.8,4.71
0.52,"Ideal","E","SI1",61.4,57,1429,5.18,5.15,3.17
0.7,"Premium","J","SI1",63,56,1827,5.66,5.61,3.55
0.34,"Premium","G","VS2",61.1,60,765,4.53,4.51,2.76
0.5,"Premium","E","SI2",62.4,59,1097,5.09,5,3.15
1.51,"Very Good","J","VVS2",60.6,58,8789,7.36,7.4,4.47
0.39,"Ideal","E","VS2",61.4,55,734,4.76,4.81,2.94
1.5,"Ideal","H","SI2",62.4,57,9104,7.29,7.33,4.56
1.21,"Very Good","F","VS2",63.5,58,7826,6.76,6.73,4.28
1.02,"Premium","H","VS2",62.5,60,5217,6.38,6.43,4
0.31,"Premium","G","VS1",61.8,59,802,4.35,4.32,2.68
0.33,"Ideal","G","VS2",62,57,579,4.44,4.47,2.76
0.7,"Ideal","G","VVS2",60.3,57,3191,5.75,5.83,3.49
0.31,"Ideal","G","VVS1",62.3,54,789,4.37,4.4,2.73
1.16,"Ideal","I","VS2",61.5,57,5207,6.75,6.78,4.16
0.92,"Good","D","SI2",59,58,3936,6.31,6.36,3.74
1.52,"Premium","J","VS1",62.2,59,8580,7.38,7.32,4.57
1.41,"Premium","I","SI2",62.9,59,6751,7.14,7.08,4.47
0.31,"Very Good","D","SI1",63.5,58,732,4.3,4.27,2.72
1,"Fair","H","SI2",65.1,58,3640,6.27,6.15,4.05
1.74,"Ideal","J","SI1",62.1,54,9208,7.73,7.69,4.79
0.41,"Good","G","SI2",63.6,54,784,4.74,4.7,3
0.32,"Ideal","E","VS2",62,54,900,4.41,4.37,2.72
0.91,"Ideal","D","SI1",62.1,55,5535,6.2,6.24,3.86
0.25,"Premium","F","IF",61.1,58,576,4.08,4.1,2.5
0.91,"Premium","F","SI2",61,51,3546,6.24,6.21,3.8
1.02,"Very Good","E","VS2",59.2,58,6612,6.52,6.58,3.88
1.01,"Premium","F","VS2",61.5,58,6244,6.41,6.46,3.96
1.51,"Premium","J","SI1",59.4,59,6851,7.45,7.54,4.45
1.02,"Very Good","E","VS1",58.9,59,7253,6.52,6.65,3.88
0.5,"Premium","F","VS2",60.6,59,1433,5.13,5.03,3.08
1.01,"Premium","E","SI2",59.6,61,4434,6.59,6.56,3.92
0.42,"Ideal","G","VS1",61.8,56,984,4.84,4.8,2.98
1.01,"Good","H","SI1",64,58,4116,6.31,6.37,4.06
0.43,"Ideal","F","VVS2",61.8,57,1169,4.83,4.85,2.99
0.24,"Very Good","F","VS1",59.9,58,419,4.02,4.06,2.42
0.34,"Ideal","G","SI1",62.7,57,607,4.51,4.48,2.82
0.9,"Good","H","SI2",62.7,64,2883,6.09,6,3.79
1.04,"Ideal","I","VS1",61.8,56,5229,6.49,6.51,4.02
0.73,"Ideal","E","SI1",61.5,56,3453,5.79,5.82,3.57
1.04,"Very Good","H","SI1",62,58,5285,6.42,6.48,4
0.43,"Ideal","G","VS1",61.9,55,943,4.84,4.86,3
0.41,"Premium","D","VVS2",61.8,58,1356,4.79,4.75,2.95
1.25,"Premium","H","SI2",62.2,60,6230,6.83,6.8,4.24
0.56,"Ideal","D","VVS1",61.9,56,3496,5.32,5.28,3.28
0.58,"Ideal","H","IF",60.2,56,2233,5.43,5.46,3.28
0.51,"Good","H","SI2",56.7,60,1060,5.38,5.35,3.04
0.24,"Premium","D","VVS1",61.5,60,710,4,3.97,2.45
0.32,"Ideal","H","IF",60.9,56,842,4.41,4.42,2.69
1.52,"Very Good","D","VS2",63.4,59,14680,7.32,7.24,4.61
2,"Ideal","H","VS2",62.4,55,15829,8.03,7.94,4.99
1,"Premium","F","SI1",62.9,57,4586,6.37,6.32,3.99
0.34,"Very Good","G","SI1",61.2,54,536,4.53,4.56,2.78
0.73,"Ideal","D","VS2",61.9,56,3255,5.76,5.81,3.58
0.34,"Ideal","F","SI2",60.1,56,447,4.54,4.55,2.73
2.06,"Premium","G","SI2",61.8,58,16587,8.15,8.1,5.02
2,"Premium","E","SI2",61.8,56,18426,8.12,8.05,5
0.23,"Very Good","H","VS1",59.4,61,338,4,4.05,2.39
0.36,"Ideal","D","VS2",61.7,55,1094,4.6,4.58,2.83
0.56,"Good","F","VS1",59.1,62,1712,5.36,5.42,3.19
0.72,"Ideal","G","VVS2",61.2,57,3126,5.72,5.81,3.53
1.14,"Ideal","G","VS1",60.9,57,7750,6.7,6.82,4.12
1.06,"Ideal","G","VS2",62.7,55,6411,6.53,6.49,4.08
0.31,"Ideal","E","SI1",62.4,57,698,4.34,4.31,2.7
0.32,"Ideal","E","VVS2",60.8,57,1080,4.46,4.42,2.7
1.16,"Ideal","G","SI2",61.5,54,5301,6.78,6.75,4.16
0.72,"Premium","F","VS2",61.5,58,2646,5.73,5.69,3.51
0.57,"Ideal","I","VS2",61.6,54,1258,5.35,5.4,3.31
0.44,"Ideal","I","VVS1",61.2,55,1107,4.92,4.95,3.02
0.3,"Ideal","E","VS2",62.1,55,658,4.28,4.32,2.67
0.32,"Premium","H","VVS1",61.4,58,730,4.37,4.42,2.7
1.02,"Premium","F","SI2",63,58,4238,6.44,6.38,4.04
1.02,"Premium","F","VS1",62.8,58,7677,6.44,6.4,4.03
0.3,"Ideal","I","VS2",62,55,438,4.3,4.35,2.68
0.43,"Ideal","I","VS1",61.8,55,1218,4.88,4.9,3.02
1,"Very Good","E","SI2",63.9,57,4321,6.24,6.27,4
0.56,"Ideal","G","VVS2",62.6,53,2148,5.27,5.31,3.31
0.53,"Ideal","D","VS2",62.1,55,1857,5.17,5.2,3.22
1.21,"Premium","J","SI1",59.7,60,4574,6.93,6.9,4.13
1.52,"Ideal","E","VS1",62.4,54,16916,7.32,7.39,4.59
0.61,"Ideal","I","VVS2",62,54,1867,5.51,5.47,3.4
1.52,"Ideal","F","SI1",62,54,12071,7.36,7.44,4.59
0.51,"Fair","F","VS2",61,66,1334,5.12,5.04,3.1
0.36,"Ideal","E","SI1",62,57,810,4.57,4.53,2.82
0.9,"Very Good","H","VS1",62.7,57,4136,6.14,6.18,3.86
